customer_id,tenure,internet_service,contract_type,payment_method,paperless_billing,senior_citizen,partner,dependents,online_security,tech_support,multiple_lines,monthly_charges,total_charges,churn
C100000,5,None,One year,Bank transfer (automatic),Yes,0,No,Yes,No,No,No,80.19427659,440.9255561,Yes
C100001,36,DSL,Month-to-month,Mailed check,Yes,0,No,No,Yes,No,No,57.2696278,2132.36976,No
C100002,15,DSL,Month-to-month,Credit card (automatic),Yes,0,No,Yes,No,Yes,Yes,71.72763782,986.9152035,No
C100003,9,Fiber optic,One year,Electronic check,Yes,0,Yes,Yes,No,Yes,Yes,85.83225335,850.2424351,Yes
C100004,2,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,0,Yes,Yes,No,Yes,Yes,93.27526861,208.0513077,Yes
C100005,2,None,One year,Bank transfer (automatic),Yes,0,No,No,Yes,No,No,20.14775942,49.6784612,No
C100006,0,DSL,Two year,Credit card (automatic),Yes,0,No,No,Yes,Yes,No,42.18118941,14.74759523,No
C100007,24,Fiber optic,Month-to-month,Mailed check,Yes,0,No,No,No,No,No,90.94325406,2175.460432,Yes
C100008,11,Fiber optic,One year,Bank transfer (automatic),Yes,0,Yes,No,Yes,Yes,Yes,91.36569568,985.660158,No
C100009,15,Fiber optic,Month-to-month,Electronic check,Yes,0,No,No,No,No,No,88.93631978,1309.95642,Yes
C100010,0,None,Month-to-month,Mailed check,No,1,No,No,Yes,Yes,Yes,51.3401087,-22.6314986,Yes
C100011,41,Fiber optic,Month-to-month,Credit card (automatic),Yes,0,Yes,No,No,Yes,No,89.56957821,3753.33071,Yes
C100012,21,None,Month-to-month,Credit card (automatic),No,0,Yes,Yes,Yes,Yes,Yes,39.97582066,847.2887213,No
C100013,2,DSL,Month-to-month,Bank transfer (automatic),No,0,No,Yes,No,Yes,Yes,80.47440601,108.7196742,Yes
C100014,2,Fiber optic,Month-to-month,Mailed check,Yes,0,No,No,No,No,Yes,94.28424445,234.5572828,Yes
C100015,2,DSL,Two year,Credit card (automatic),Yes,0,Yes,No,No,No,No,49.20446324,109.2707101,No
C100016,4,DSL,One year,Electronic check,Yes,0,No,No,No,Yes,No,45.7107125,188.738451,No
