customer_id,tenure,internet_service,contract_type,payment_method,paperless_billing,senior_citizen,partner,dependents,online_security,tech_support,multiple_lines,monthly_charges,total_charges,churn
C100000,5,None,One year,Bank transfer (automatic),Yes,0,No,Yes,No,No,No,80.19427659301876,440.92555613322116,Yes
C100001,36,DSL,Month-to-month,Mailed check,Yes,0,No,No,Yes,No,No,57.26962779653768,2132.3697603942173,No
C100002,15,DSL,Month-to-month,Credit card (automatic),Yes,0,No,Yes,No,Yes,Yes,71.72763782052743,986.915203478147,No
C100003,9,Fiber optic,One year,Electronic check,Yes,0,Yes,Yes,No,Yes,Yes,85.83225334738795,850.2424351258724,Yes
C100004,2,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,0,Yes,Yes,No,Yes,Yes,93.2752686104066,208.05130766085105,Yes
C100005,2,None,One year,Bank transfer (automatic),Yes,0,No,No,Yes,No,No,20.147759418339326,49.67846119818225,No
C100006,0,DSL,Two year,Credit card (automatic),Yes,0,No,No,Yes,Yes,No,42.18118940788905,14.747595227714205,No
C100007,24,Fiber optic,Month-to-month,Mailed check,Yes,0,No,No,No,No,No,90.94325406478421,2175.460431691025,Yes
C100008,11,Fiber optic,One year,Bank transfer (automatic),Yes,0,Yes,No,Yes,Yes,Yes,91.36569567708744,985.6601580344278,No
C100009,15,Fiber optic,Month-to-month,Electronic check,Yes,0,No,No,No,No,No,88.93631977555403,1309.9564199446497,Yes
C100010,0,None,Month-to-month,Mailed check,No,1,No,No,Yes,Yes,Yes,51.34010870382434,-22.63149859598312,Yes
C100011,41,Fiber optic,Month-to-month,Credit card (automatic),Yes,0,Yes,No,No,Yes,No,89.5695782118153,3753.3307104875694,Yes
C100012,21,None,Month-to-month,Credit card (automatic),No,0,Yes,Yes,Yes,Yes,Yes,39.975820660159144,847.2887212752988,No
C100013,2,DSL,Month-to-month,Bank transfer (automatic),No,0,No,Yes,No,Yes,Yes,80.4744060138181,108.71967423537977,Yes
C100014,2,Fiber optic,Month-to-month,Mailed check,Yes,0,No,No,No,No,Yes,94.28424444905238,234.557282785459,Yes
C100015,2,DSL,Two year,Credit card (automatic),Yes,0,Yes,No,No,No,No,49.204463244324806,109.27071012964916,No
C100016,4,DSL,One year,Electronic check,Yes,0,No,No,No,Yes,No,45.7107125012674,188.73845104871796,No
